N,P,K,temperature,humidity,ph,rainfall,label
35,55,35,26.456789,57.567890,7.123456,90.456789,banana
28,48,28,27.789012,53.890123,7.345678,75.789012,banana
40,52,40,28.123456,59.123456,7.567890,95.123456,banana
32,58,32,29.456789,56.456789,7.678901,85.456789,banana
38,53,38,30.789012,58.789012,7.234567,92.789012,banana
29,49,29,31.123456,54.123456,7.456789,78.123456,banana
42,51,42,32.456789,60.456789,7.678901,98.456789,banana
34,57,34,33.789012,57.789012,7.890123,88.789012,banana
31,46,31,34.123456,55.123456,7.012345,82.012345,banana
85,58,41,21.770462,80.319644,7.038096,226.655537,mango
80,50,45,22.548438,75.235203,7.840651,263.964248,mango
95,45,40,23.004459,71.799309,7.438660,242.864034,mango
88,40,42,24.348834,78.322565,6.852201,234.247691,mango
92,45,38,25.123456,82.567890,6.987654,256.789012,mango
87,50,44,26.456789,76.345678,7.234567,245.678901,mango
93,38,46,27.890123,79.123456,6.765432,238.901234,mango
86,52,41,28.234567,81.987654,7.123456,251.234567,mango
91,43,43,29.567890,74.765432,6.890123,247.890123,mango
90,42,43,20.879744,82.002744,6.502985,202.935536,mango
25,30,35,28.123456,65.234567,6.123456,120.123456,grapes
30,35,40,29.456789,67.567890,6.345678,130.456789,grapes
22,28,32,30.789012,63.890123,6.567890,115.789012,grapes
35,32,45,31.123456,69.123456,6.789012,135.123456,grapes
27,38,37,32.456789,66.456789,6.890123,125.456789,grapes
33,33,42,33.789012,68.789012,6.234567,132.789012,grapes
24,29,34,34.123456,64.123456,6.456789,118.123456,grapes
38,31,46,35.456789,70.456789,6.678901,138.456789,grapes
30,37,38,36.789012,67.789012,6.890123,128.789012,grapes
26,26,36,37.123456,65.123456,6.012345,122.012345,grapes
45,60,45,22.123456,70.234567,6.890123,150.123456,watermelon
50,65,50,23.456789,72.567890,7.123456,160.456789,watermelon
42,58,42,24.789012,68.890123,7.345678,145.789012,watermelon
55,62,55,25.123456,74.123456,7.567890,165.123456,watermelon
47,68,47,26.456789,71.456789,7.678901,155.456789,watermelon
53,63,53,27.789012,73.789012,7.234567,162.789012,watermelon
44,59,44,28.123456,69.123456,7.456789,148.123456,watermelon
58,61,58,29.456789,75.456789,7.678901,168.456789,watermelon
50,67,50,30.789012,72.789012,7.890123,158.789012,watermelon
46,56,46,31.123456,70.123456,7.012345,152.012345,watermelon
35,45,25,26.123456,60.234567,6.123456,100.123456,muskmelon
40,50,30,27.456789,62.567890,6.345678,110.456789,muskmelon
32,43,22,28.789012,58.890123,6.567890,95.789012,muskmelon
45,47,35,29.123456,64.123456,6.789012,115.123456,muskmelon
37,53,27,30.456789,61.456789,6.890123,105.456789,muskmelon
43,48,33,31.789012,63.789012,6.234567,112.789012,muskmelon
34,44,24,32.123456,59.123456,6.456789,98.123456,muskmelon
48,46,36,33.456789,65.456789,6.678901,118.456789,muskmelon
40,52,28,34.789012,62.789012,6.890123,108.789012,muskmelon
36,41,26,35.123456,60.123456,6.012345,102.012345,muskmelon
20,30,20,30.123456,50.234567,6.890123,80.123456,apple
25,35,25,31.456789,52.567890,7.123456,90.456789,apple
18,28,18,32.789012,48.890123,7.345678,75.789012,apple
30,32,30,33.123456,54.123456,7.567890,95.123456,apple
22,38,22,34.456789,51.456789,7.678901,85.456789,apple
28,33,28,35.789012,53.789012,7.234567,92.789012,apple
19,29,19,36.123456,49.123456,7.456789,78.123456,apple
32,31,32,37.456789,55.456789,7.678901,98.456789,apple
24,37,24,38.789012,52.789012,7.890123,88.789012,apple
21,26,21,39.123456,50.123456,7.012345,82.012345,apple
15,25,15,25.123456,55.234567,6.123456,100.123456,orange
20,30,20,26.456789,57.567890,6.345678,110.456789,orange
12,23,12,27.789012,53.890123,6.567890,95.789012,orange
25,27,25,28.123456,59.123456,6.789012,115.123456,orange
17,33,17,29.456789,56.456789,6.890123,105.456789,orange
23,28,23,30.789012,58.789012,6.234567,112.789012,orange
14,24,14,31.123456,54.123456,6.456789,98.123456,orange
27,26,27,32.456789,60.456789,6.678901,118.456789,orange
19,32,19,33.789012,57.789012,6.890123,108.789012,orange
16,21,16,34.123456,55.123456,6.012345,102.012345,orange
50,60,40,28.123456,65.234567,6.890123,120.123456,papaya
55,65,45,29.456789,67.567890,7.123456,130.456789,papaya
48,58,38,30.789012,63.890123,7.345678,115.789012,papaya
60,62,50,31.123456,69.123456,7.567890,135.123456,papaya
52,68,42,32.456789,66.456789,7.678901,125.456789,papaya
58,63,48,33.789012,68.789012,7.234567,132.789012,papaya
49,59,39,34.123456,64.123456,7.456789,118.123456,papaya
62,61,51,35.456789,70.456789,7.678901,138.456789,papaya
54,67,43,36.789012,67.789012,7.890123,128.789012,papaya
51,56,44,37.123456,65.123456,7.012345,122.012345,papaya
40,50,30,22.123456,60.234567,6.123456,100.123456,coconut
45,55,35,23.456789,62.567890,6.345678,110.456789,coconut
38,48,28,24.789012,58.890123,6.567890,95.789012,coconut
50,52,40,25.123456,64.123456,6.789012,115.123456,coconut
42,58,32,26.456789,61.456789,6.890123,105.456789,coconut
48,53,38,27.789012,63.789012,6.234567,112.789012,coconut
39,49,29,28.123456,59.123456,6.456789,98.123456,coconut
52,51,42,29.456789,65.456789,6.678901,118.456789,coconut
44,57,34,30.789012,62.789012,6.890123,108.789012,coconut
41,46,31,31.123456,60.123456,6.012345,102.012345,coconut
35,45,25,26.123456,70.234567,6.123456,150.123456,cotton
40,50,30,27.456789,72.567890,6.345678,160.456789,cotton
32,43,22,28.789012,68.890123,6.567890,145.789012,cotton
45,47,35,29.123456,74.123456,6.789012,165.123456,cotton
37,53,27,30.456789,71.456789,6.890123,155.456789,cotton
43,48,33,31.789012,73.789012,6.234567,162.789012,cotton
34,44,24,32.123456,69.123456,6.456789,148.123456,cotton
48,46,36,33.456789,75.456789,6.678901,168.456789,cotton
40,52,28,34.789012,72.789012,6.890123,158.789012,cotton
36,41,26,35.123456,70.123456,6.012345,152.012345,cotton
25,35,20,30.123456,65.234567,6.123456,120.123456,jute
30,40,25,31.456789,67.567890,6.345678,130.456789,jute
22,33,18,32.789012,63.890123,6.567890,115.789012,jute
35,37,30,33.123456,69.123456,6.789012,135.123456,jute
27,43,22,34.456789,66.456789,6.890123,125.456789,jute
33,38,28,35.789012,68.789012,6.234567,132.789012,jute
24,34,19,36.123456,64.123456,6.456789,118.123456,jute
38,36,31,37.456789,70.456789,6.678901,138.456789,jute
30,42,23,38.789012,67.789012,6.890123,128.789012,jute
26,31,21,39.123456,65.123456,6.012345,122.012345,jute
15,25,15,35.123456,55.234567,6.123456,100.123456,coffee
20,30,20,36.456789,57.567890,6.345678,110.456789,coffee
12,23,12,37.789012,53.890123,6.567890,95.789012,coffee
25,27,25,38.123456,59.123456,6.789012,115.123456,coffee
17,33,17,39.456789,56.456789,6.890123,105.456789,coffee
23,28,23,40.789012,58.789012,6.234567,112.789012,coffee
14,24,14,41.123456,54.123456,6.456789,98.123456,coffee
27,26,27,42.456789,60.456789,6.678901,118.456789,coffee
19,32,19,43.789012,57.789012,6.890123,108.789012,coffee
16,21,16,44.123456,55.123456,6.012345,102.012345,coffee
